AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
42954.934,42081.047,-37752.074,-39666.523,-39153.93,53395.254,52551.434,52258.156,10397.473125199605
42909.07,42068.508,-37839.18,-39605.926,-39093.2,53394.81,52545.91,52254.914,10397.47714856657
42932.715,42121.1,-38253.668,-40093.33,-39624.055,53388.84,52546.38,52253.37,10397.481171933534
42998.79,42174.902,-38521.957,-40521.254,-40158.863,53382.36,52551.723,52255.027,10397.485195300498
43011.082,42148.484,-38271.996,-40228.02,-39884.273,53387.434,52555.95,52258.87,10397.489218667462
42946.598,42075.258,-37748.61,-39479.707,-39161.285,53395.836,52553.465,52260.21,10397.493242034427
42899.01,42064.934,-37751.492,-39670.414,-39073.176,53396.215,52548.324,52257.285,10397.497265401393
42922.973,42115.96,-38190.547,-40605.453,-39591.51,53388.84,52545.957,52252.926,10397.501288768357
42993.69,42174.656,-38435.68,-41075.957,-40129.184,53382.312,52551.7,52254.914,10397.505312135321
43009.785,42153.47,-38203.445,-40788.516,-39861.453,53387.59,52556.73,52259.406,10397.509335502285
42948.562,42079.438,-37685.957,-40097.49,-39155.85,53395.234,52552.863,52259.227,10397.51335886925
42895.523,42056.617,-37765.688,-40018.92,-39092.016,53396.105,52547.477,52256.145,10397.517382236214
42919.33,42108.52,-38222.355,-40506.055,-39618.87,53389.51,52546.895,52253.105,10397.521405603178
42987.434,42164.89,-38481.32,-40943.074,-40163.45,53382.312,52551.23,52254.31,10397.525428970142
43000.645,42141.668,-38228.883,-40662.004,-39903.473,53387.207,52554.918,52258.355,10397.529452337107
